Response_ID,TS,Time_Taken,Q3,Q3_O,Q4,Q5,Q6,Q7,Q8A1,Q8A2,Q8A3,Q8A4,Q8A5,Q8A6,Q8A7,Q8A8,Q8A9,Q8_O,Q9R1,Q9R2,Q9R3,Q9R4,Q9R5,Q10R1,Q10R2,Q10R3,Q10R4,Q10R5,Q11,Q12,Q13,Q14,Q15,Q16,Q17
1608687374,12/28/2020 15:48:44,440,Community Association, ,DNE,More than 3 years,"The role directly supports those in the community who require assistance and benefit from the work of the CSW.  As well, to liaison with the community association.",The CSW provides that personal touch that some community members need.,Collaborate with other partners and/or residents to identify, ,Lead neighbourhood initiative(s) (supported by the CSW), ,"Provide resources (funding, space, etc.) for local initiativ", , , , , ,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,No, ,More than 2 years,Yes, ,Very Satisfied, 
1608671925,12/17/2020 11:56:31,845,Community Association, ,DNE,More than 3 years,"human connection, programming, helps community function, works with individuals, small groups-large groups, conducts needs assessments",connection between neighbours and brings opportunities to the DNE,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,No, ,More than 2 years,Yes,"Seniors and new residents need and appreciate connection. With the change of the DNE and new residents moving in, this is extra important to blend the old with the new to build a valuable neighbourhood that has opportunity to meet each other and get to know neighbours.",Very Satisfied,this is a valuable service that needs to have ongoing support in the DNE
1608687410,12/28/2020 17:51:38,591,Service provider, ,FAL,1 to 3 years,"I would describe the role of the CSW as a connector - connecting residents with agencies, opportunities, activities and each other","The CSW is an integral part of the community network.  She is the one who can bring information or resources to the community so the residents can achieve their collective goals.  As an example, the neighborhood markets that we put on last year.  They would not have been as successful as they were without the CSW.",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No, ,More than 2 years,Yes,The CSW is in a wonderful position to develop relationships with the community residents; they trust her and she helps them develop their self confidence and leadership skills.,Very Satisfied,Please make sure the CSW folks stay in their respective communities long enough to develop trusting relationships.  That is the only way to make the community development work taht is done sustainable....thanks
1608649008,12/13/2020 21:01:51,1591,Service provider, ,FLN,More than 3 years,CSW have partnered with Awo Taan to provide programs for families living in the FLN area that focus on inclusion and building healthy community. They facilitate the connection between community members and organizations.,The CSWs have extensive knowledge about their regions and provide resources to both community and organizations. They are consistently looking for new ways to engage their communities., , , , , ,Provide services, , , , ,Agree,Agree,Agree,Agree,Agree,Not Applicable,Agree,Agree,Agree,Agree,No, ,More than 2 years,Yes,CSWs provide programs and support community members that are looking to engage in community. Their community initiates provide space for all members to come together to learn about the people who share their community.,Satisfied, 
1608649245,12/14/2020 11:20:32,2397,Service provider, ,FLN,Less than 6 months,"They are a great resource network for our youth and open to anyone being referred to them. If they cant help, I trust they have the knowledge to refer them to someone who could.",Great value. They help more than I could type in this box., , , , , ,Provide services, , , , ,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,No, ,More than 2 years,Yes,"The CSW will help connect the clients to the best supports to help them succeed in life, long after the CSWs work with them is complete.",Very Satisfied, 
1608648415,12/11/2020 11:19:41,462,Service provider, ,MULTIPLE,6 months to under a year,Facilitating connections between agencies to create intersectoral programs/events.Working collaboratively to create new programming for residents,CSWs know their residents and can observe gaps in programming which helps agencies develop programs and projects to address those needs in collaboration with the CSWs.,Collaborate with other partners and/or residents to identify, ,Lead neighbourhood initiative(s) (supported by the CSW), , ,Provide services, ,Work to address specific local issues, , ,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Yes, ,More than 2 years,Yes, ,Very Satisfied, 
1608675121,12/17/2020 16:04:11,298,Service provider, ,MULTIPLE,6 months to under a year,She has been helpful in creating regular meet-ups to keep all service agencies informed and connected!,"She has been a great source of information on what is going on in the community, She both brings in rescources for us as well as helps communicate things betwwen organizations.", , , , , ,Provide services, ,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Delivering Food Hampers,More than 2 years,Yes, ,Very Satisfied, 
1608687433,12/28/2020 21:07:08,392,Service provider, ,MULTIPLE,6 months to under a year,Utilizing the skills and assets each organization possesses in order to cater to the needs of the community. Recognizing each organization offers unique programs that can provide and support for youth and families in and out of school,Networking with other agencies. Helping different families in the community and supporting them. Working together with other agencies to make the community a safer space for all individuals who reside there.,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives, ,Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,No, ,More than 2 years,Yes,"Fundamentally, the efforts of the community social worker will increase over time as agencies begin to collaborate and discover more options to offer to communities. The community will recognize both the CSW and the agencies working together as resources that can be helpful for their well being and for their youth.",Very Satisfied, 
1608687438,12/29/2020 00:33:02,1740,Other,Ethnocultural community- based organization,MULTIPLE,More than 3 years,"The role of CSW is inclusive. As a city professional and community practitioner  looking for better services for community members, wellbeing, better resources and services, community issues to encounter and possible solutions. Building residents capacity",Collaboration,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ", ,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Do Not Agree or Disagree,Yes,"Work together in the GFL collaborative which includes but not limited to COVID we shared resources during COVID, pros and cons strength during difficult time and share online fun activities to ease the stress. Plans, workshops etc",Unsure/Not Applicable,Yes,City workers are expertises they will be able to diagnose the community problem and strength and they are the link between City and the community and this will help the City to understand the grassroots and identify projects needed for community development,Satisfied,More City- community engagement
1608648681,12/11/2020 17:08:56,85,Service provider, ,MULTIPLE,More than 3 years, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1608653003,12/15/2020 13:14:59,385,Service provider, ,MULTIPLE,More than 3 years,I think they are doing good work but that a lot of the general public doesnt know they exist,"I think the CSW brings great collaboration and information sharing. Outside looking in though, it seems there is little they can do about the true needs of the neighbourhood. I think this is due to their directives and funding initiatives",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW), , ,Provide services,Support a specific initiative identified by the CSW, , , ,Strongly Agree,Do Not Agree or Disagree,Agree,Strongly Agree,Agree,Do Not Agree or Disagree,Agree,Do Not Agree or Disagree,Disagree,Strongly Agree,No, ,More than 2 years,Yes,"Regardless of what were able to accomplish at the moment, the intention of making the community stronger is there. It is a good start. I think maybe there needs to be a true direction when collaborating",Satisfied, 
1608687844,12/31/2020 10:37:34,1701,Community Association, ,HPK,More than 3 years,"Awesome, I do a lot of volunteering with CSW and I am on the planning committee with her for our Block Connector Program. Everything I do volunteering for HPCA, I am engaged with CSW.  Her role for HPCA is very important to our community.","I feel the role CSW brings to our community is communication with organizations, businesses, our neighborhood.  CSW joins us all together in a communication loop of what is going on in our area, what is needed for our neighbors, seniors and businesses/organizations.  Through our CSW, I am engaged with Fresh Start, all our churches in our neighborhood, and Carya.",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW), ,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,"Block Connector Program - what do neighbors need, reaching out to the neighbors, getting to know your neighbors. We are reaching out & connecting to our neighbors and then connect them to our CSW to whoever needs help during these trying times.",More than 2 years,Yes,"I feel the CSW ties all of us together.  Community, residence, businesses and organizations, all benefit with a CSW, to provide our neighborhood with resources, programs and knowledge.She connects us with the City and helps us deal with our social & personal issues in our area.",Very Satisfied,I look forward to volunteering more with our CSW with helping to help people in our neighborhood with any social issues or personal issues.Especially during these trying times.
1608648105,12/10/2020 20:29:00,887,Church, ,HPK,1 to 3 years,CSW is vital to different partners and agencies working together to meet the needs of the community. Her work and helping us network really enhances the wellbeing of those who live in our area.,Huge value...she enhances quality of life for so many people,Collaborate with other partners and/or residents to identify, , , ,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No, ,More than 2 years,Yes,CSW is working to build networks and partnerships that are resulting in long term work (such as the truth and reconciliation group) so I can see them continuing with other initiatives as well.,Very Satisfied,The work of the CSW is essential for groups and organizations being able to meet the needs of the community. Organizations like ours can’t afford professional social workers or others with a similar skill set (not even part time) so being able to access and work with someone like a CSW is a real asset.
1608648131,12/10/2020 22:12:41,556,Church, ,MULTIPLE,More than 3 years,The CSW is incredible in working alongside us in partnership to meet critical needs of low income people in the community.,An incredible value in highlighting needs in the community and assisting people in the areas to access assistance.,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No, ,More than 2 years,Yes,I have had an incredible experience of value working with the CSW and they have significantly impacted our work in the community.,Very Satisfied,To highlight that above - this has been and continues to be an incredible partnership.
1608648522,12/11/2020 13:40:50,742,Service provider, ,MULTIPLE,1 to 3 years,A supporter and convener for community needs,"They support the convening, administration and venue for community residents to gather.", , , ,Provide expertise to local initiatives, , , , , , ,Agree,Agree,Agree,Do Not Agree or Disagree,Agree,Do Not Agree or Disagree,Agree,Disagree,Agree,Agree,No, ,Unsure/Not Applicable,Yes,"Yes and No, issues and needs morph and it will be up to that worker to adjust to that need. In looking to change community perspectives, that is a harder target. As people tend to lose interest in the newest trend or topic quickly, or feel the work is too hard or not fun or feel good enough for them. This is a hard task for a CSW to handle, people move and it is easy to dismiss harder efforts to change a whole neighborhoods beliefs or situation. Hard to engage all neighborhood residents.... seems gone are the days when residents engaged at their local community halls, or had block parties to get to know their neighbors, or attended Neighborhood meetings to address needs. Some people are only apathetic to their own needs and wants.",Satisfied,My CDWs are amazing and show a real love for what they do.
1608648492,12/11/2020 12:48:54,872,Other,"network for community-minded people... CAs, agencies that use CD, residents, academics, people in govt, etc.",MULTIPLE,1 to 3 years,"CSWs perform essential roles in the communities they work in. They act as an important connection point to residents, especially those who are more vulnerable, and can connect them to existing community supports and organizations. They also provide critical support to community groups and to fostering collaboration between community groups and agencies working in a particular area.","CSWs perform a critical function that helps residents become involved and engaged in community and in civic society, while also supporting community groups to further engage and serve residents. They also help enhance the impact and effectiveness of community efforts in a region by bringing key stakeholders together for information sharing and collaboration.",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, ,Provide expertise to local initiatives, ,Provide services, ,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No, ,More than 2 years,Yes,For all of the reasons already stated - their efforts help bring people in and support things underway.... they are critical to helping improve impact and support ensuring that people with different backgrounds and experiences have a voice.,Very Satisfied, 
1608687531,12/29/2020 12:19:01,114,Service provider, ,MULTIPLE,6 months to under a year, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1608687373,12/28/2020 15:47:00,215,Other, ,MAN,1 to 3 years,Extremely important,"Community, tackle common issues, be heard", , , , , , , ,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,CSW has been awesome for all of the residents.  She provided help before we even asked.,More than 2 years,Yes,"Certain things would remain...ie, better accessibility for disabilities, stop signs, etc.",Very Satisfied, 
1608687871,12/31/2020 14:20:12,381,Business, ,MAN,1 to 3 years,"Collaborating , facilitating social activities , helping residents - Providing support to residents",Great value . We really blessed by having a CSW, , ,Lead neighbourhood initiative(s) (supported by the CSW), ,"Provide resources (funding, space, etc.) for local initiativ",Provide services, , , , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Yes,"We provided  free masks , gloves , hand sanitizers to residents - We provided Christmas bags for residents of 50  years old plus that has new year calendar , masks , etc",More than 2 years,Yes,All my activities would not be done without the help of the social worker,Very Satisfied, 
1608648443,12/11/2020 11:58:39,895,City of Calgary Business Unit, ,MAN,1 to 3 years,"Imperative for residents of Manchester; The supports, services, and education CSW offers creates community and, in all honesty, saves lives given the overall vulnerable population she works with within Manchester. CSW is everything from social worker, to connector, to program developer, to literal life savior. She is essential for the continued well being of these residents.","HUGE VALUE CSW brings people together in a way that wouldnt organically happen were she not there. Also, she plays a huge role in education, especially during COVID, for these residents. She is making life safer for all Calgarians by interacting with and educating the residents the way she does.",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,"Outdoor meeting groups and Halloween trick or treating. Experience was extremely positive and well organized, well thought out, and well done.",More than 2 years,Yes,"She is building capacity in residents, and she is building a community in which residents now want to stay.",Very Satisfied,"CSW is an amazing CSW, who puts her whole heart into what she does. It shows through in waves, and The City is very lucky to have her. She goes above and beyond her expectations, and has been a lifeline to so many Manchester residents. Im not sure her superiors know how instrumental she has been in getting certain residents through the pandemic. She in an unsung hero for the community of Manchester."
1608648113,12/10/2020 21:03:58,440,Business, ,MAN,1 to 3 years, Listening to the needs and concerns of Calgarians and how the city can provide infrastructure or services to those communities.,A direct liaison between the City of Calgary and community members,Collaborate with other partners and/or residents to identify, ,Lead neighbourhood initiative(s) (supported by the CSW), , , ,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,No, ,More than 2 years,Yes,City Councillors cannot always be available to help organizations and residents solve issues within their elected neighbourhoods. Community Social Workers can provide an ear to the ground in these communities and work with multiple interest groups to find mutual benefits and solutions.,Satisfied,Thanks for helping us with our project!
1608687393,12/28/2020 16:14:23,1384,Other,Agency for Adults with Developmental Disabilities,MAN,1 to 3 years,"A community service worker helps to provide community services to the disadvantaged within communities and advocate for individuals social, mental and physical health and well-being.",The CSW helps to connect community groups and share resources so that everyone is included and can fully participate in their community. Our CSW in Manchester has helped to remove barriers to full inclusion so that our participants (adults with developmental disabilities) are included and belong to the Manchester community. She helps reduce social isolation and builds bridges.,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, , , ,Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Delivery of Cobs Bread for residents in Chinook House,More than 2 years,Yes,Our CSW is very present and active and committed to the long term health and growth of Manchester neighbourhood. She is collaborative and welcoming of new initiatives in the community. She has community-building strengths and encourages people to come together on joint initiatives. She is resourceful and supportive when people in the community come forward with new ideas and suggestions for growth.,Very Satisfied,Our CSW in Manchester neighbourhood is an exceptional communicator and community advocate! She is resourceful and relational and she has helped remove barriers for us. She has helped our agency feel more connected and integrated into the Manchester community. Were very grateful for CSW and her presence and support!
1608648336,12/11/2020 09:53:41,8099,Service provider, ,MULTIPLE,1 to 3 years,activating residents to engage with their community. Supporting them to connect with natural supports and service providers for needs. Support residents with initiatives they desire.,"They bring a lot of value for us a service provider, especially to advertise and  know the needs of the community so we can adjust programing appropriately. The work they are doing is very important for connecting with residents and creating action in the community",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, , ,"Provide resources (funding, space, etc.) for local initiativ",Provide services, ,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,No, ,More than 2 years,Yes, ,Very Satisfied,CSW are the strongest partners we have in the community to make things happen and support residents effectively.
1608648296,12/11/2020 09:12:08,13765,Other,advocacy and design-build,MULTIPLE,1 to 3 years,"Community development: building and strengthening local networks of social capital, facilitating resident connection to resources and advocating for them with the municipality.","Provides an invaluable connecting point for relationships within the community, helps bridge different groups, a real-life navigator of support systems",Collaborate with other partners and/or residents to identify, , ,Provide expertise to local initiatives, , , ,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,"Worked closely with CSW Manchester, to help activate a green space to provide a useful, safe, comfortable, and interesting place for residents to spend time in outside. This included working with residents and the local IATSE 212 union to develop a mural, securing city funding, and facilitating resident engagement. CSWs help was invaluable: the mural would not exist without her assistance.",Unsure/Not Applicable,Yes,"Investing in building social capital is one of the most effective ways of improving many other types of capital (human, economic, political etc), as per a growing body of research.",Very Satisfied,Appreciate the new focus of allowing a some CSWs to essentially focus on a single community and embed into that - has much more long term potential.
1608649601,12/14/2020 16:52:47,590,Service provider, ,MULTIPLE,1 to 3 years,"Community connector, supporter, conflict resolver, co-empowerer, friend","Sympathy, empathy, compassion, connection, community (ok, thats five, but I cant pick one)",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, , ,"Provide resources (funding, space, etc.) for local initiativ",Provide services, ,Work to address specific local issues,Other,Identify and address inherent inequities built into our socioeconomic structures through coempowerment and community economic development,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree, ,Strongly Agree,Strongly Agree,No, ,More than 2 years,Yes,As they represent a necessary and powerful mediating factor in the precarious and often dehumanizing experiences of vulnerable populations,Very Satisfied,"I mostly work with CSW (although I do work with others throughout Calgary) and I think she is absolutely amazing! A model CSW, who fills her role with patience, care and compassion. Any resident would be lucky to have her as a CSW!"
1608687702,12/30/2020 12:35:47,53,Service provider, ,MULTIPLE,1 to 3 years, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1608687389,12/28/2020 16:00:10,155,Advocacy group, ,MRL,1 to 3 years,Providing cultural and mental health support,Community, , , , ,"Provide resources (funding, space, etc.) for local initiativ", ,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree, ,Strongly Agree,Strongly Agree,No, ,Unsure/Not Applicable,Yes, ,Satisfied, 
1608649267,12/14/2020 11:40:14,371,Service provider, ,MRL,More than 3 years, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1608687727,12/30/2020 14:08:23,242,Service provider, ,MULTIPLE,1 to 3 years,Someone who build relationships with clients and service providers to ensure optimization of services.,Huge value. They are the go-to for connections. They are collaborative and help make many critical linkages between service providers.,Collaborate with other partners and/or residents to identify, , , , , , , , , ,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Strongly Agree,Strongly Agree,Agree,Agree,Agree,No, ,More than 2 years,Yes,They are the critical link between service providers and to clients.,Very Satisfied, 
1608687537,12/29/2020 12:37:35,1083,School, ,MULTIPLE,More than 3 years,#NAME?,"Strong community connectionsGreat access to resourcesBuild community awareness of issues/concerns, coordinate community events, great opportunity for schools to work within the community as the CSW is a huge connector/liaison to provide opportunitiesTwo years ago, our school had a Carnival that involved many agencies including the CSW who brought the Unity Tent",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW), ,"Provide resources (funding, space, etc.) for local initiativ", ,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Resources were given to provide to our school community in time of need,More than 2 years,Yes, ,Very Satisfied,We have been extremely fortunate to have connected with our CSW.  She has provided many resources and opportunities that we can share with our community.  She also provided opportunities for our students in various community activities.  Students have voiced a concern about creating a different attitude of the NE community.  Our CSW has been a huge factor in this.  She is extremely knowledgeable and brings a different perspective.
1608667362,12/16/2020 15:08:11,457,Service provider, ,MULTIPLE,1 to 3 years,Connecting the citizens in the neighbourhood to resources and maintaining a healthy and prosperous community.  Also tracking the socio-economical stats and population stats of the area,"Ability to provide a connection from the neighbourhood to the City of Calgary, also helping to improve the lives of the citizens in the neighbourhood",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, ,Provide expertise to local initiatives, ,Provide services, ,Work to address specific local issues, , ,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,No, ,More than 2 years,Yes,Their work impacts citizens directly in their communities and helps build resources and resilience for future citizens of this neighbourhood,Satisfied, 
1608687904,12/31/2020 19:57:13,425,School, ,MULTIPLE,More than 3 years,"Community resource.  Person who could like school, families with community agencie and resources.",Very valuable.  Also brings City of Calgary closer to residents,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, ,Provide expertise to local initiatives, , , ,Work to address specific local issues, , ,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree, ,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Yes,Support for families such as food security and communication of health measures,More than 2 years,Yes,Another conduit to give voice to residents,Very Dissatisfied,They have been wonderful and supportive
1608687425,12/28/2020 19:14:55,398,Service provider, ,MULTIPLE,1 to 3 years,Very helpful and accommodating. Inclusive in promoting events.,Needed value in connecting City of Calgary facilities and events with community support groups.,Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW), , ,Provide services, , , , ,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,No, ,More than 2 years,Yes,The more we can collaborate the greater the impact we can have together.,Very Satisfied, 
1608648355,12/11/2020 10:28:24,709,City of Calgary Business Unit, ,MULTIPLE,6 months to under a year,Unclear of what exactly their role is,"Not sure, however it could enhance the lives of residents if they engaged on a more personal level with residents; reached out to them VS the other way around",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives, ,Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Do Not Agree or Disagree,Do Not Agree or Disagree,Agree,Agree,Agree,Agree,Do Not Agree or Disagree,Disagree,Do Not Agree or Disagree,Strongly Agree,No, ,More than 2 years,Yes,"If the worker engages well with residents and builds natural leaders, the impact could be long lasting for the area and other residents.",Neutral,"I would like to work more collaboratively, though it is difficult to know what they are doing other than the few times we work together."
1608648329,12/11/2020 09:48:54,1239,Service provider, ,MULTIPLE,6 months to under a year,"We are new to the area, and we received so much support from the two CSWs in the communities that we serve. They have been so welcoming, introducing us to the community, and partnering from the beginning. Amazing!","You can tell that the CSWs care deeply for the residents in their communities and want to provide the best resources and connections for them. They also work really well with the community, collaborating with community members and other service providers equally.",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,#NAME?,More than 2 years,Yes,"This work is so important to the community, in a world where people are increasingly isolated, this work brings them together.",Very Satisfied,nope!
1608648323,12/11/2020 09:38:54,56,City of Calgary Business Unit, ,MULTIPLE,1 to 3 years, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1608688605,01/04/2021 10:21:53,1127,Service provider, ,MULTIPLE,1 to 3 years,"The CSW provides community connections, referrals and opportunities for community development for resident in the North of McKnight communities.","The CSW brings a wealth of experience and knowledge about the community and the surrounding community resources. The CSW makes many efforts to connect residents, including community groups, with appropriate referrals. She builds the capacity of resident leaders and is always looking for new ways we can work together to support our community.",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW), ,"Provide resources (funding, space, etc.) for local initiativ",Provide services, , , , ,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Yes,"Over the course of 2020, the CSW and Trellis have partnered on numerous occasions to support pandemic relief. This looks like soft referrals to pandemic relief efforts through to planning and executing resident lead initiatives.",More than 2 years,Yes,"I believe by increasing resident capacity, we will be supporting to create resident leaders whose efforts will continue to support their community long after the CSW / social services agencies are gone.",Very Satisfied,"Kiima is an exceptional colleague to work alongside. She is knowledgeable, compassionate and a community advocate. Her working relationship with our agency is a great example of the work that can done when we pool resources. It is hoped that we are able to continue to build on this relationship as we navigate this next year together."
1608687538,12/29/2020 12:38:20,3247,Service provider, ,MULTIPLE,6 months to under a year,"As a new service provider for NW, Social worker went above and beyond to gather, research and analyze information and resources to support us.She has both an understanding and ability to share that knowledge about community resources available in all communities to staff. She has brought many resources that we were not aware of to our attention.","I have had the pleasure of working with her in the past.  I have observed her caring, sincere, manner in communicating with children and families. she knows the who, what, when, where, why and how’s! Her ability to work within the established guidelines garners respect and clarity while promoting cooperation and relationship building. One thing is for sure . . . She is universally well regarded.",Collaborate with other partners and/or residents to identify,Connect clients/residents to CSW initiatives,Lead neighbourhood initiative(s) (supported by the CSW),Provide expertise to local initiatives,"Provide resources (funding, space, etc.) for local initiativ",Provide services,Support a specific initiative identified by the CSW,Work to address specific local issues, , ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,"As a new to agency to NW Calgary, She completed a significant project that required locating, connecting with, researching and describing current community resources at this difficult time for the community.. She help us to complete a Community Resource Guide that outlines citywide programs, their mandate, contact, criteria and referral information. She also gathered current information and reorganized our new locations and the information about our services.The information is now the most comprehensive and current that we have ever had. The resource will be used at the Community Family Resource Centre and at our various community programs. The Guide will also be shared with our community partner and all colleague.",More than 2 years,Yes,Lets build and empower our community together!,Very Satisfied,Thank you!
